,iso3-code,name,box,lon1,lat1,lon2,lat2
3,JPN,Bonin Is.,"(142.107128906, 26.6156738281, 142.202148438, 26.7264648437)",142.107128906,26.6156738281,142.202148438,26.7264648437
4,JPN,Nansei-shoto,"(123.679785156, 24.2660644531, 129.714648438, 28.5174804688)",123.679785156,24.2660644531,129.714648438,28.5174804688
5,JPN,Japan,"(128.649121094, 30.24140625, 141.329199219, 45.4654785156)",128.649121094,30.24140625,141.329199219,45.4654785156
6,JPN,Honshu,"(130.889257813, 33.4869628906, 141.993164062, 41.5055664062)",130.889257813,33.4869628906,141.993164062,41.5055664062
7,JPN,Shikoku,"(132.032617188, 32.7520019531, 134.738867188, 34.3583984375)",132.032617188,32.7520019531,134.738867188,34.3583984375
0,NZL,N.Z. SubAntarctic Is.,"(165.889160156, -52.5703125, 169.233496094, -50.5309570312)",165.889160156,-52.5703125,169.233496094,-50.5309570312
1,NZL,Chatham Is.,"(-176.84765625, -44.3305664062, -176.122558594, -43.717578125)",-176.84765625,-44.3305664062,-176.122558594,-43.717578125
2,NZL,South I.,"(166.477636719, -47.263671875, 174.370117188, -40.4900390625)",166.477636719,-47.263671875,174.370117188,-40.4900390625
3,NZL,North I.,"(172.705957031, -41.6106445312, 178.536230469, -34.4291015625)",172.705957031,-41.6106445312,178.536230469,-34.4291015625
0,PHL,Philippines,"(116.96953125, 5.06020507812, 126.593359375, 20.8412597656)",116.96953125,5.06020507812,126.593359375,20.8412597656
0,ITA,Pantelleria,"(11.9364257813, 36.7459960937, 12.0512695312, 36.8430664062)",11.9364257813,36.7459960937,12.0512695312,36.8430664062
1,ITA,Italy,"(6.627734375, 37.9391113281, 18.4858398438, 47.0821289063)",6.627734375,37.9391113281,18.4858398438,47.0821289063
2,ITA,Sardinia,"(8.180859375, 38.9096679688, 9.8052734375, 41.2570800781)",8.180859375,38.9096679688,9.8052734375,41.2570800781
3,ITA,Sicily,"(12.435546875, 36.6878417969, 15.6346679688, 38.2958984375)",12.435546875,36.6878417969,15.6346679688,38.2958984375
4,ITA,Pelagie Islands,"(12.315, 35.487, 12.893, 35.885)",12.315,35.487,12.893,35.885
0,PAN,Panama,"(-83.02734375, 7.22006835938, -77.1959960937, 9.5978515625)",-83.02734375,7.22006835938,-77.1959960937,9.5978515625
0,THA,Thailand,"(97.3739257812, 5.63676757813, 105.641015625, 20.4244140625)",97.3739257812,5.63676757813,105.641015625,20.4244140625
0,IND,Andaman Is.,"(92.3528320313, 10.5207519531, 93.0766601563, 13.5454589844)",92.3528320313,10.5207519531,93.0766601563,13.5454589844
1,IND,India,"(68.1650390625, 8.0783203125, 97.3435546875, 35.4958984375)",68.1650390625,8.0783203125,97.3435546875,35.4958984375
2,IND,Nicobar Is.,"(92.71328125, 6.74868164062, 93.9295898438, 9.24389648438)",92.71328125,6.74868164062,93.9295898438,9.24389648438
3,IND,Lakshadweep,"(72.7724609375, 8.251953125, 73.08359375, 11.2627441406)",72.7724609375,8.251953125,73.08359375,11.2627441406
0,RUS,Russia,"(-180.0, 64.2797363281, -169.729150391, 71.5961914063)",-180.0,64.2797363281,-169.729150391,71.5961914063
1,RUS,Russia,"(52.7350585938, 42.3025390625, 180.0, 81.28046875)",52.7350585938,42.3025390625,180.0,81.28046875
2,RUS,Russia,"(27.351953125, 41.1992675781, 68.9416992188, 81.8541992187)",27.351953125,41.1992675781,68.9416992188,81.8541992187
3,RUS,Kaliningrad,"(19.6043945313, 54.3500976562, 22.83125, 55.2866699219)",19.6043945313,54.3500976562,22.83125,55.2866699219
0,MYS,Malaysia,"(99.6462890625, 0.861962890625, 119.266308594, 7.35166015625)",99.6462890625,0.861962890625,119.266308594,7.35166015625
0,ALA,Aland,"(19.5190429688, 60.0116699219, 20.611328125, 60.4058105469)",19.5190429688,60.0116699219,20.611328125,60.4058105469
0,PRT,Azores,"(-31.2829589844, 36.9415527344, -25.02734375, 39.5208496094)",-31.2829589844,36.9415527344,-25.02734375,39.5208496094
1,PRT,Madeira,"(-17.3, 32.4, -16.25, 33.15)",-17.3,32.4,-16.25,33.15
2,PRT,Portugal,"(-9.47973632812, 37.0054199219, -6.2125, 42.1374023437)",-9.47973632812,37.0054199219,-6.2125,42.1374023437
0,HRV,Croatia,"(13.5171875, 42.4329101562, 19.4009765625, 46.5346191406)",13.5171875,42.4329101562,19.4009765625,46.5346191406
0,BMU,Bermuda,"(-64.8628417969, 32.2596191406, -64.6683105469, 32.3869140625)",-64.8628417969,32.2596191406,-64.6683105469,32.3869140625
0,GRC,Greece,"(19.646484375, 34.9344726563, 28.2318359375, 41.7437988281)",19.646484375,34.9344726563,28.2318359375,41.7437988281
0,BEL,Flemish,"(2.52490234375, 50.6976074219, 5.89248046875, 51.4911132813)",2.52490234375,50.6976074219,5.89248046875,51.4911132813
1,BEL,Brussels,"(4.2146484375, 50.7760253906, 4.44169921875, 50.900390625)",4.2146484375,50.7760253906,4.44169921875,50.900390625
2,BEL,Walloon,"(2.85546875, 49.5108886719, 6.364453125, 50.8059570312)",2.85546875,49.5108886719,6.364453125,50.8059570312
0,URY,Uruguay,"(-58.4381347656, -34.9328125, -53.1255859375, -30.1010742188)",-58.4381347656,-34.9328125,-53.1255859375,-30.1010742188
